DESCRIPCION DE EQUIPO;MARCA
CHAPA DE PUERTA GABINETE ZTE;ZTE
ADAPTADOR ERICSSON ANTENNA ADAPTER PLATE 2-3 6-8/15-80;ERICSSON
ANTENA CAMBIUM;CAMBIUM
ANTENA PANEL;AMPHENOL
ANTENA RADWIN ODU - IDU;OTRO
ANTENA UBIQUITI;UBIQUITI
ARRESTER ANTENA UBIQUITY;UBIQUITI
ASR-920-12CZ-D V02;CISCO
ASR-920-12CZ-D V04;CISCO
BATERIA HYBRICO DE LITIO 100AH 48V = 4800W;OTRO
BATERIA NARADA 100AH 48V = 4800W;OTRO
BREACKER 220 VAC ZTE INTERNO;ZTE
CABLE DC;ERICSSON
CABLE IF RG-6;OTRO
CABLE UTP;ERICSSON
CABLE VERDE / AMARILLO PARA ATERRIZAJE;ERICSSON
CONECTOR ERICSSON CONECTOR DC CIRCULAR PARA RRUS;ERICSSON
CONECTOR RG-6;ERICSSON
CONTACTOR;SIEMENS
CTCSW3424FM;CISCO
FAN VENTILADOR ASR;OTRO
FIBRA OPTICA;ZTE
FIBRA OPTICA HUAWEI;HUAWEI
FIBRA OPTICA HUAWEI  FO DLC-PC 120M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 100M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 120M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 30M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 40M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 50M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 50M SINGLEMODE;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 60M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 70M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 80M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC-PC 90M MULTIMODO;HUAWEI
FIBRA OPTICA HUAWEI FO DLC/UPC, 120M SINGLE MODE;HUAWEI
FIBRA OPTICA ROHS PATCHCORD LC-LC SIMPLEX MONOMODO 10MTS;HUAWEI
FIBRA OPTICA ROHS PATCHCORD LC-LC SIMPLEX MONOMODO 6MTS;HUAWEI
FIBRA OPTICA ROHS PATCHCORD LC-SC SIMPLEX MONOMODO 10MTS;HUAWEI
FUENTE POE ALFA POE 48VOLT;ALPHA
GABINETE ZTE;ZTE
JUMPER DIN - DIN;OTRO
JUMPER DIN - DIN 10M;OTRO
JUMPER DIN - DIN Y FEEDER;HUAWEI
JUMPER HUAWEI MINI-DIN R MINI-DIN;HUAWEI
JUMPER N - N;HUAWEI
LATIGUILLO ADAPTADOR RG6;ERICSSON
LVD ZTE;ZTE
MAGAZINE ERICSSON SUP 6601;ERICSSON
MEDIA CONVERTER;CTC
MEMORIA SMART FLASH CARD DUG;CISCO
MODULO DE RECTIFCACION;ERICSSON
MODULO DE VENTILADORES PUERTA RBS 2106;ERICSSON
MODULO DE VENTILADORES PUERTA ZTE;ZTE
MULTIPLEXOR CTC UNION FMUX04E-AD+SFP5020;CTC
POE CAMBIUM 30V-0.5A;CAMBIUM
PUERTA GABINETE PBC-05;ZTE
RADIO ERICSSON CDU-G8;ERICSSON
RADIO ERICSSON DTRU 1900;ERICSSON
RADIO ERICSSON DTRU 800 EDGE;ERICSSON
RADIO ERICSSON RRU 2219 B5;ERICSSON
RADIO ERICSSON RRUS 01 B5;ERICSSON
RADIO ERICSSON RRUS 11 B2;ERICSSON
RADIO ERICSSON RRUS 12 B2;ERICSSON
RADIO ERICSSON RRUS 12 B5;ERICSSON
RADIO ERICSSON RRUS 12B5;ERICSSON
RADIO ERICSSON RRUS 22 17 B2;ERICSSON
RADIO ERICSSON RRUS 22 19 B5;ERICSSON
RADIO HUAWEI RRU 5502;HUAWEI
RAU 2 X 13/A02;ERICSSON
RAU 2 X 23/A06;ERICSSON
RAU ERICSSON MINI-LINK 6363 7/31H;ERICSSON
RAU ERICSSON MINI-LINK 6363 7/34L;ERICSSON
RAU ERICSSON MINI-LINK 6363 8/14H;ERICSSON
RAU ERICSSON MINI-LINK 6363 8/14L;ERICSSON
RAU ERICSSON RAU2 X 13/12;ERICSSON
RAU ERICSSON RAU2 X 13/16;ERICSSON
RAU ERICSSON RAU2 X 15/A15;ERICSSON
RAU ERICSSON RAU2 X 23/93;ERICSSON
RAU ERICSSON RAU2 X 23/A02;ERICSSON
RAU ERICSSON RAU2 X 6U/23;ERICSSON
RAU ERICSSON RAU2 X 6U/27;ERICSSON
RAU ERICSSON RAU2 X 6U/A23;ERICSSON
RAU ERICSSON RAU2 X 7/31;ERICSSON
RAU ERICSSON RAU2 X 7/34;ERICSSON
RAU ERICSSON RAU2 X 7/35;ERICSSON
RAU ERICSSON RAU2 X 7/37;ERICSSON
RAU ERICSSON RAU2 X 7/38;ERICSSON
RAU ERICSSON RAU2 X 7/71;ERICSSON
RAU ERICSSON RAU2 X 7/74;ERICSSON
RAU ERICSSON RAU2 X 7/A32;ERICSSON
RAU ERICSSON RAU2 X 7/A34;ERICSSON
RAU ERICSSON RAU2 X 7/A34HP;ERICSSON
RAU ERICSSON RAU2 X 7/A38;ERICSSON
RAU ERICSSON RAU2 X 13/11;ERICSSON
RAU ERICSSON RAU2 X 15/85;ERICSSON
RAU ERICSSON RAU2 X 7/A31;ERICSSON
RAU ERICSSON RAU2 X 7/A35;ERICSSON
RAU ERICSSON RAU2 X 15/85;ERICSSON
RAU ERICSSON RAU2 X 7/33;ERICSSON
RBS ERICSSON AMM 2P;ERICSSON
RBS ERICSSON BASEBAND 5212;ERICSSON
RBS ERICSSON BASEBAND 6620;ERICSSON
RBS ERICSSON BASEBAND 6630;ERICSSON
RBS ERICSSON DUG 2001;ERICSSON
RBS ERICSSON DUS 31 01;ERICSSON
RBS ERICSSON DUS 31 02;ERICSSON
RBS ERICSSON DUW 2001;ERICSSON
RBS ERICSSON DUW 3101;ERICSSON
RBS ERICSSON DUW 4101;ERICSSON
RBS ERICSSON ML 6654 CONFIG 2;ERICSSON
RECTIFICADOR CISCO ASR-920;CISCO
RECTIFICADOR CISCO FUENTE DE ALIMENTACION ASR-920;CISCO
RECTIFICADOR ERICSSON RECTIFICADOR R48 2000 PBC 05;EMERSON
RECTIFICADOR ERICSSON RECTIFICADOR R48 2000E PBC 05;EMERSON
RECTIFICADOR ERICSSON RECTIFICADOR R48 2000E3 PBC 05;ERICSSON
RECTIFICADOR HUAWEI R4850G2 1U 3000W;HUAWEI
RECTIFICADOR ZTE RECTIFICADORES MARCA ZTE;ZTE
RECTIFICADOR ZTE ZXD3000;ZTE
RMM RYS 110 243/1;ERICSSON
ROUTER CISCO ASR-903;CISCO
SFP CISCO GLC-BX-U;CISCO
SFP CISCO GLC-BX-U  / SFP 1000BASE BX10-D GLC-BX-D;CISCO
SFP CISCO GLC-LH-SMD;CISCO
SFP CISCO GLC-TE;CISCO
SFP CISCO SFP-10G-ER;CISCO
SFP CISCO SFP-GE-T;OTRO
SFP ERICSSON RDH 102 47/2;ERICSSON
SFP ERICSSON RDH 102 65/2 (CPRI & 10GBASE-LR LITE SFP+);ERICSSON
SFP ERICSSON RDH 90120/49800;ERICSSON
SFP GE T CISCO;CISCO
SPD;ZTE
SPLITTER RAU MINILINK;OTRO
SWITCH CISCO ASR 901;CISCO
SWITCH CISCO ASR-920-12CZ-D;CISCO
SWITCH CISCO ASR-920-24SZ-;CISCO
SWITCH CISCO ASR-920-24SZ-M;CISCO
TARJETA CONTROLADORA VENTILADORES 2106;ERICSSON
TARJETA CONTROLADORA VENTILADORES ZTE;ZTE
TARJETA ERICSSON CN 510-RADIO MINI-LINK;ERICSSON
TARJETA ERICSSON CONTROLADORA DE PBC05;EMERSON
TARJETA ERICSSON CONTROLADORA M521B -PBC 05;ERICSSON
TARJETA ERICSSON DXU-21A;ERICSSON
TARJETA ERICSSON FAU 1401;ERICSSON
TARJETA ERICSSON FAU4;ERICSSON
TARJETA ERICSSON MMU2 H;ERICSSON
TARJETA ERICSSON MMU3A;ERICSSON
TARJETA ERICSSON NPU3 D;ERICSSON
TARJETA ERICSSON PFU 3B;ERICSSON
TARJETA ERICSSON PFU1;ERICSSON
TARJETA ERICSSON PNM 1001;ERICSSON
TARJETA ERICSSON PNM 1002;ERICSSON
TARJETA HUAWEI DMU02C1;HUAWEI
TARJETA ZTE CONTROLADORA CSU501B;ZTE
TARJETA ZTE SIU;ZTE
TERMINAL DE OJO;ERICSSON
TURBINA;OTRO
TARJETA CONTROLADORA IB2;ERICSSON
FIBRA OPTICA ROHS PATCHCORD LC-LC SIMPLEX MONOMODO 3MTS;SIN MARCA
